source,target
KSPA1W2-8J1-1A3-INVE4-7A,KSPA1W2-8J1-1A3-XE4-9A
KSPA1W2-8J1-1A3-ME4-5A,KSPA1W2-8J1-1A3-FE4-1A
KSPA1W2-8J1-1A3-ME4-6A,KSPA1W2-8J1-1A3-FE4-1A
KSPA1W2-8J1-1A3-ME4-7A,KSPA1W2-8J1-1A3-FE4-1A
KSPA1W2-8J1-1A3-ME4-8A,KSPA1W2-8J1-1A3-FE4-1A
KSPA1W2-8J1-1A3-XE4-1A,KSPA1W2-8J1-1A3-ME4-7A
KSPA1W2-8J1-1A3-XE4-2A,KSPA1W2-8J1-1A3-ME4-5A
KSPA1W2-8J1-1A3-XE4-3A,KSPA1W2-8J1-1A3-ME4-5A
KSPA1W2-8J1-1A3-XE4-4A,KSPA1W2-8J1-1A3-ME4-6A
KSPA1W2-8J1-1A3-XE4-5A,KSPA1W2-8J1-1A3-ME4-6A
KSPA1W2-8J1-1A3-XE4-9A,KSPA1W2-8J1-1A3-ME4-7A
KSPA1W2-8J1-1A3-XE4-10A,KSPA1W2-8J1-1A3-ME4-7A
KSPA1W2-8J1-1A3-XE4-13A,KSPA1W2-8J1-1A3-FE4-1A
KSPA1W2-8J1-1A3-XE4-15A,KSPA1W2-8J1-1A3-FE4-1A
KSPA1W2-8J1-1A3-XE4-16A,KSPA1W2-8J1-1A3-FE4-1A
KSPA1W2-8J1-1B5-DE1-1A,KSPA1W2-BATT-F
KSPA1W2-8J1-1B5-FE4-1A,KSPA1W2-8J1-SUBE4-1
KSPA1W2-8J1-1B5-GE2-1A,KSPA1W2-8J1-1B5-XE4-17A
KSPA1W2-8J1-1B5-GE2-1B,KSPA1W2-8J1-1B5-GE2-1A
KSPA1W2-8J1-1B5-GE2-1C,KSPA1W2-8J1-1B5-GE2-1A
KSPA1W2-8J1-1B5-GE2-1D,KSPA1W2-8J1-1B5-GE2-1A
KSPA1W2-8J1-1B5-GE2-1E,KSPA1W2-8J1-1B5-GE2-1A
KSPA1W2-8J1-1B5-GE2-3A,KSPA1W2-8J1-1B5-XE4-10A
KSPA1W2-8J1-1B5-GE2-3B,KSPA1W2-8J1-1B5-GE2-3A
KSPA1W2-8J1-1B5-GE2-3C,KSPA1W2-8J1-1B5-GE2-3A
KSPA1W2-8J1-1B5-GE2-6A,KSPA1W2-8J1-1B5-XE4-4A
KSPA1W2-8J1-1B5-GE2-6B,KSPA1W2-8J1-1B5-GE2-6A
KSPA1W2-8J1-1B5-GE2-8A,KSPA1W2-8J1-1B5-XE4-13A
KSPA1W2-8J1-1B5-GE2-8B,KSPA1W2-8J1-1B5-GE2-8A
KSPA1W2-8J1-1B5-GE2-9A,KSPA1W2-8J1-1B5-XE4-15A
KSPA1W2-8J1-1B5-INVE4-1A,KSPA1W2-8J1-1B5-ME4-5A
KSPA1W2-8J1-1B5-INVE4-2A,KSPA1W2-8J1-1B5-ME4-5A
KSPA1W2-8J1-1B5-INVE4-3A,KSPA1W2-8J1-1B5-ME4-1A
KSPA1W2-8J1-1B5-INVE4-4A,KSPA1W2-8J1-1B5-ME4-1A
KSPA1W2-8J1-1B5-INVE4-6A,KSPA1W2-8J1-1B5-XE4-8A
KSPA1W2-8J1-1B5-INVE4-7A,KSPA1W2-8J1-1B5-XE4-2A
KSPA1W2-8J1-1B5-INVE4-8A,KSPA1W2-8J1-1B5-XE4-6A
KSPA1W2-8J1-1B5-INVE4-9A,KSPA1W2-8J1-1B5-XE4-16A
KSPA1W2-8J1-1B5-ME4-1A,KSPA1W2-8J1-1B5-XE4-9A
KSPA1W2-8J1-1B5-ME4-2A,KSPA1W2-8J1-1B5-FE4-1A
KSPA1W2-8J1-1B5-ME4-5A,KSPA1W2-8J1-1B5-XE4-12A
KSPA1W2-8J1-1B5-ME4-6A,KSPA1W2-8J1-1B5-FE4-1A
KSPA1W2-8J1-1B5-ME4-8A,KSPA1W2-8J1-1B5-FE4-1A
KSPA1W2-8J1-1B5-XE4-2A,KSPA1W2-8J1-1B5-FE4-1A
KSPA1W2-8J1-1B5-XE4-4A,KSPA1W2-8J1-1B5-ME4-8A
KSPA1W2-8J1-1B5-XE4-6A,KSPA1W2-8J1-1B5-ME4-8A
KSPA1W2-8J1-1B5-XE4-8A,KSPA1W2-8J1-1B5-ME4-6A
KSPA1W2-8J1-1B5-XE4-9A,KSPA1W2-8J1-1B5-FE4-1A
KSPA1W2-8J1-1B5-XE4-10A,KSPA1W2-8J1-1B5-ME4-6A
KSPA1W2-8J1-1B5-XE4-12A,KSPA1W2-8J1-1B5-FE4-1A
KSPA1W2-8J1-1B5-XE4-13A,KSPA1W2-8J1-1B5-ME4-5A
KSPA1W2-8J1-1B5-XE4-15A,KSPA1W2-8J1-1B5-ME4-2A
KSPA1W2-8J1-1B5-XE4-16A,KSPA1W2-8J1-1B5-ME4-2A
KSPA1W2-8J1-1B5-XE4-17A,KSPA1W2-8J1-1B5-ME4-1A
KSPA1W2-8J1-1B6-GEN-DOCK,KSPA1W2-8J1-SUBE4-1
KSPA1W2-8J1-SUBE4-1,KSPA1W2-8J1-XE7-1
KSPA1W2-8J1-SWGE7-1,KSPA1EB-8-SWGE7
KSPA1W2-8J1-XE7-1,KSPA1W2-8J1-SWGE7-1
KSPA1W2-BATT-F,
KSPA1W2-BATT-F,
KSPA1W2-BATT-G,
KSPA1W2-BATT-G,
KSPA1W2-BATT-L,
KSPA1W2-BATT-L,
KSPA1W2-BATT-A/C,
KSPA1W2-BATT-A/C,
KSPA1W2-BATT-B/D,
KSPA1W2-BATT-B/D,
KSPA1W2-HMI-F,
KSPA1W2-HMI-G,
KSPA1W2-HMI-L,
KSPA1W2-HMI-A/C,
KSPA1W2-HMI-B/D,
